seed,width,height,rl_success,rl_steps,rl_time,astar_success,astar_steps,astar_time
8341860,123,76,1,60,0.009525299,1,48,0.097814083
5962300,33,127,1,95,0.010569572,1,93,0.322520494
204785,103,114,0,26,0.007139206,0,30,0.201495647
9707164,41,38,0,15,0.002197027,0,5,0.010378838
3370197,93,117,1,66,0.012487173,0,39,0.564777136
6761955,70,46,1,44,0.004567385,1,44,0.051999807
5910135,56,37,1,15,0.001767159,1,9,0.002844572
5129128,63,125,1,50,0.006756067,1,50,0.275131941
8593707,88,65,1,66,0.009736061,0,13,0.165125608
2164735,105,96,1,46,0.010924816,0,23,0.044947386
4753460,44,42,1,38,0.005036592,1,36,0.08538866
8669778,101,125,1,10,0.001724482,1,10,0.004021168
6260651,33,76,1,17,0.00210309,1,18,0.006564379
2208272,124,48,0,40,0.005699158,1,55,0.263979673
1920518,62,68,1,225,0.026214123,0,9,0.020303488
5546709,98,54,1,11,0.001480818,1,11,0.004518747
2579472,51,65,1,47,0.005130291,1,47,0.039250612
6080054,93,88,1,99,0.017661095,1,65,0.306717634
2088300,88,104,0,2,0.000449181,0,2,0.01097393
9330396,123,43,1,111,0.011808872,0,60,1.600240231
719491,84,48,1,40,0.005142927,0,34,0.05026722
2940359,75,110,1,59,0.008999586,0,56,0.41838336
8859831,101,104,1,14,0.003182173,1,14,0.006476879
2479019,54,82,1,204,0.023082256,1,52,0.107621908
4054016,106,49,1,14,0.001692533,1,14,0.006149054
4483842,104,42,1,50,0.005783558,0,8,0.04477644
1228257,127,105,1,66,0.012286663,1,40,0.168305874
2981232,35,99,1,3,0.000354528,1,3,0.000289917
2093623,76,94,1,25,0.004549265,1,25,0.025903702
2683669,67,42,1,30,0.00366807,1,30,0.062978983
1224265,73,46,1,44,0.005872011,0,6,0.057069063
9391196,92,58,1,43,0.005624533,1,43,0.159633636
547427,110,87,1,48,0.009428024,1,48,0.297089815
4852150,94,93,0,0,9.54E-07,0,0,0
5229197,46,112,1,58,0.006315947,1,59,0.271509647
3824703,106,65,1,22,0.003352165,1,18,0.012994051
6180063,80,104,1,41,0.006716013,1,39,0.047341347
1836740,72,118,1,167,0.03034687,0,27,0.65513134
4739174,106,117,1,47,0.011414766,0,15,0.238209248
6155121,75,85,1,36,0.005913258,1,36,0.080229282
2196623,106,42,1,26,0.003115416,1,24,0.025431633
3650686,41,105,1,38,0.004243374,1,38,0.095104933
8823218,90,102,1,9,0.001922846,1,9,0.00172925
4252201,49,86,1,44,0.005880356,1,48,0.243941545
814494,70,123,1,64,0.008296013,1,63,0.687378883
3394589,47,38,1,7,0.000844717,1,7,0.00130868
6753524,44,50,1,45,0.005755663,0,8,0.018430471
5486285,114,82,1,80,0.014953852,0,21,0.215070009
8205638,81,105,1,41,0.006724358,1,39,0.078339815
1489354,123,119,1,55,0.016174078,0,17,0.252507448
1998976,105,127,0,300,0.072233677,0,99,2.066848755
194306,100,84,1,37,0.006920815,0,16,0.047205925
7122372,75,69,1,12,0.00201869,1,11,0.003659964
1203188,118,66,1,30,0.004025936,1,30,0.060144424
6943546,100,61,0,164,0.023427963,1,26,0.07021594
8991793,91,104,1,23,0.005409956,1,23,0.022183657
7853743,39,38,1,26,0.003362894,0,1,0.004351616
448066,40,71,1,30,0.004053593,1,28,0.028254509
7474134,60,115,1,24,0.003045559,1,24,0.035267353
