seed,width,height,rl_success,rl_steps,rl_time,astar_success,astar_steps,astar_time
700917,59,120,1,80,0.010398865,0,48,1.461257458
4303446,122,34,1,62,0.00722146,0,29,0.096477032
4877739,106,82,1,80,0.014486313,0,33,0.461699724
9072464,123,78,1,21,0.003594398,0,3,0.004129648
8847268,82,41,1,28,0.003081799,0,22,0.063448906
1913655,70,47,1,26,0.00320816,1,25,0.020989656
8875926,41,93,1,8,0.000878096,1,8,0.00191474
8823584,90,116,1,126,0.020385981,0,2,0.12798357
8187635,47,79,1,41,0.004787922,1,41,0.137610197
9766511,105,38,1,12,0.001421213,1,10,0.002230167
4340136,99,95,1,57,0.008749247,1,43,0.10077548
3922122,81,70,0,14,0.002634525,1,13,0.004402876
1860462,70,89,1,74,0.011975765,0,57,0.532879353
5578877,38,93,1,95,0.010696173,0,27,0.507467031
3221550,61,117,1,14,0.001855373,1,14,0.010957956
5975999,79,116,1,53,0.008369923,1,53,0.278549671
7325962,43,72,1,37,0.004545927,1,36,0.139211416
5312313,61,128,1,21,0.002706766,1,20,0.020219564
2873733,67,64,1,15,0.002465963,1,15,0.006344795
9827860,68,37,1,15,0.002126217,0,3,0.002939939
1080114,51,69,1,12,0.001433134,1,12,0.003089905
8505737,94,105,1,29,0.005348444,1,24,0.034504414
1721158,99,115,1,162,0.024908781,0,35,0.369250059
341581,75,45,1,42,0.004658699,1,31,0.053843737
9866555,59,74,1,76,0.011578083,0,20,0.185245275
8844659,54,79,0,98,0.015716553,0,5,0.033894777
7773890,62,64,1,65,0.010045052,0,36,0.520219088
3304923,57,96,1,14,0.002113581,1,15,0.009257317
6784084,46,77,1,8,0.00088644,1,8,0.002132893
8110754,102,42,1,163,0.018253326,0,2,0.020711899
5034267,117,73,1,15,0.002703428,1,15,0.008766651
2927831,123,93,1,40,0.008128643,1,40,0.184720278
460420,67,90,1,93,0.012748718,0,52,0.803236485
9826150,116,35,1,55,0.005795717,1,56,0.332532883
8177977,52,78,1,85,0.009408474,0,11,0.185108185
5093214,58,74,0,16,0.002899885,1,18,0.011946917
8197400,94,40,1,32,0.003299713,1,32,0.062858582
9942952,106,69,1,30,0.004449129,1,30,0.024897814
7681060,100,80,0,96,0.031345367,0,4,0.167322159
5236222,112,50,1,65,0.009138346,0,15,0.055941105
7936561,79,32,1,15,0.001707792,1,15,0.011619806
2247165,116,68,1,65,0.010074139,0,16,0.112647772
8881147,53,76,1,89,0.01278162,0,14,0.058539629
4025823,103,39,0,56,0.006542444,0,56,0.364114761
9502500,56,110,1,4,0.000570297,1,4,0.000439167
3576532,111,58,1,18,0.002938509,1,18,0.011532068
3897495,74,61,1,17,0.00228858,1,15,0.003293276
7866602,68,81,1,43,0.007693052,1,35,0.07208252
3594481,39,106,1,11,0.001185417,1,11,0.00411725
174019,114,68,1,31,0.003925562,1,31,0.048817873
3118572,94,103,1,29,0.004460335,1,29,0.084463596
531009,44,61,1,3,0.000408888,1,3,0.000350237
1695991,45,126,1,56,0.007101536,0,15,0.06335783
9251630,98,44,1,21,0.002546787,1,21,0.019330263
3669847,70,90,1,57,0.011082172,0,26,0.156121492
1261261,45,103,1,70,0.009050131,1,48,0.227491856
7044112,126,53,1,47,0.005984306,0,39,0.149814844
3838128,109,118,1,68,0.014152527,0,29,0.103189945
362657,83,79,1,83,0.012829781,0,10,0.302941322
2311633,63,37,0,15,0.002346277,0,14,0.013002396
7358998,59,102,1,31,0.003881216,1,23,0.030413628
9865447,42,66,0,29,0.003947735,0,14,0.074050903
3132513,43,126,1,103,0.012896538,0,18,0.136892319
9431513,77,40,1,18,0.00226903,1,18,0.016754389
7687770,108,64,1,76,0.014582396,0,17,0.204428673
6198327,119,70,1,24,0.003596783,1,24,0.023596048
4137419,32,54,1,24,0.002532959,1,18,0.016564608
710120,93,125,1,105,0.021296024,0,62,1.498021841
4157195,93,110,1,105,0.019723415,1,79,1.303574324
4479045,38,82,1,16,0.001964331,1,16,0.014136791
700397,49,62,1,14,0.001815081,1,13,0.008801222
815693,67,84,1,49,0.006691456,1,33,0.064948559
8753733,57,107,1,56,0.008303642,0,29,0.114408731
101084,79,101,1,64,0.009849072,0,10,0.148067236
115216,56,34,1,6,0.000662327,1,6,0.001070976
3852093,103,74,0,58,0.009224653,0,30,0.123738289
9916147,90,105,1,65,0.013394833,0,46,0.424025059
6430072,60,75,1,46,0.006946087,1,51,0.268100977
7818285,41,116,1,39,0.005220175,1,36,0.096820354
1416567,44,115,1,48,0.006146908,0,3,0.029115915
8296107,123,61,1,77,0.011203527,1,77,1.427846909
1819665,83,53,1,25,0.003786325,0,2,0.003790855
9651580,51,91,1,59,0.008441687,0,37,0.356434345
8879321,127,36,1,71,0.009146452,1,69,0.292675495
2726830,74,93,1,62,0.011408091,0,39,0.218035698
3117259,49,79,1,15,0.010947227,1,13,0.016732931
1748254,52,92,1,37,0.004852295,0,25,0.072448015
2746827,53,74,1,22,0.003283024,1,19,0.013751268
7388833,98,110,1,25,0.005704641,1,25,0.044526577
894644,35,70,1,6,0.000723839,1,6,0.000754833
4423507,36,96,1,7,0.000858068,1,7,0.001984358
5445146,58,83,1,78,0.012389183,0,8,0.046447039
8272055,84,33,1,71,0.009052992,0,55,0.248977661
9568311,120,34,1,96,0.011910439,1,88,1.868920326
7197487,88,74,1,29,0.004328251,1,29,0.056489229
515656,90,124,1,75,0.015059233,0,44,0.476837158
2617372,112,115,1,48,0.013252735,1,47,0.263532162
7667273,111,83,1,43,0.007055044,0,20,0.059814215
7391834,36,118,1,19,0.002578974,1,19,0.012454033
4971740,49,72,1,61,0.00973177,1,59,0.335337639
4724497,110,128,1,23,0.004929066,1,22,0.034857035
2970394,118,63,1,85,0.011376858,1,63,0.60535717
1139471,123,122,1,100,0.019514322,1,59,0.354348183
6767257,35,112,1,22,0.002505064,1,22,0.016729832
5614281,79,101,1,48,0.007302046,1,47,0.168046713
7323613,115,58,1,64,0.007623911,1,62,0.649274588
6793662,124,34,1,2,0.000280857,1,2,0.000157356
8959023,123,97,1,112,0.029204369,1,100,2.666216612
9932229,89,119,0,300,0.069428921,1,66,0.366371393
3656160,32,115,1,76,0.009320021,0,49,1.019753695
9883059,67,95,1,19,0.002765656,1,19,0.008465528
6085575,101,58,1,8,0.000974894,1,8,0.001667261
3467887,124,86,1,22,0.003760099,1,22,0.029385805
6684493,56,46,1,23,0.003082275,1,23,0.019505739
685063,68,104,1,63,0.011450529,0,9,0.05066824
8072301,88,53,1,50,0.005303383,0,5,0.065264702
6300852,108,85,1,186,0.034796953,1,71,0.424463987
5872257,39,64,1,13,0.001428604,1,13,0.006584167
8748020,39,95,1,51,0.005820036,1,51,0.315923452
5634572,85,59,1,34,0.005092621,0,1,0.002934933
2973334,93,119,1,30,0.005036592,1,18,0.011746645
8343651,80,90,1,25,0.004812717,1,25,0.020584345
6128267,112,40,1,41,0.004262686,1,37,0.02880168
6784214,43,81,1,60,0.007513762,1,60,0.197484732
1245882,76,78,0,116,0.026117802,0,53,0.180637836
8551246,99,40,1,26,0.002882242,1,25,0.049007893
2689168,117,51,1,39,0.005327463,0,22,0.052128792
662823,59,80,1,27,0.003846407,0,16,0.052084923
4661375,116,72,1,52,0.008584261,0,24,0.282046318
6396890,88,79,1,40,0.007140398,0,24,0.167552233
4929782,101,126,1,24,0.004771471,1,24,0.043396473
8984211,85,90,1,107,0.018975496,0,9,0.302940607
4002990,34,114,0,29,0.005665302,0,28,0.056553125
1994314,86,92,1,219,0.036600113,1,79,0.718799591
5950869,34,109,1,111,0.013471842,0,6,0.230161905
9915892,109,96,1,71,0.014616251,0,36,0.300919771
3097227,46,38,1,18,0.002053022,1,18,0.014077187
3278370,38,106,1,88,0.009907961,1,72,0.239824772
99801,92,128,1,19,0.004300833,1,19,0.021832466
1783730,83,118,1,23,0.004466295,1,23,0.014725685
6196760,128,111,1,11,0.0027349,1,11,0.003852367
4282629,90,124,1,226,0.050887108,0,15,0.328106403
4914610,84,41,1,77,0.009145975,0,10,0.144514084
9262113,120,79,1,95,0.016974926,0,19,1.4042027
1822909,39,127,1,8,0.001008987,1,8,0.001414061
1389458,103,115,1,98,0.022006273,0,59,2.416119099
